,Cities,Cloud Cover,Humidity,Latitude,Temperature,Wind Speed
0,clyde+river,90,92,68.82988817695127,19.4,17.22
1,jamestown,90,69,-32.75655517292026,40.41,6.93
2,aripuana,20,93,-9.453961382020765,75.84,2.1
3,port+alfred,76,87,-65.38549439848114,71.83,9.1
4,port+elizabeth,75,93,-40.19161961935313,64.4,3.36
5,busselton,0,92,-35.46118511302659,69.81,4.9
6,alice+town,80,100,25.37048875796593,76.29,18.16
7,saldanha,92,82,-38.93709778690684,59.0,9.17
8,cotonou,0,93,4.496647324479397,73.9,3.89
9,pleasanton,1,93,28.57050015603724,51.8,4.7
10,ushuaia,0,70,-88.69244266703741,42.8,3.36
11,bathsheba,40,88,20.24679774948244,80.6,17.22
12,lashio,8,79,23.221724709567198,69.58,1.32
13,barentsburg,48,75,85.92281919291358,-11.29,11.61
14,thompson,90,92,66.52282762045087,21.2,3.36
15,azimur,40,100,33.33952306889398,44.6,16.15
16,agadez,0,59,17.79970520437793,44.83,3.11
17,palabuhanratu,32,100,-17.46747552084055,74.71,20.45
18,novobiryusinskiy,64,66,56.774837309532415,10.32,5.75
19,richards+bay,0,73,-36.061416648473994,77.64,12.35
20,port+blair,24,95,13.708687749531094,85.11,15.41
21,ushuaia,0,70,-80.69008463896832,42.8,3.36
22,palabuhanratu,44,100,-12.508949117403063,79.48,14.41
23,talcahuano,0,81,-35.40991479755962,53.6,9.17
24,uhlove,92,91,44.4690273442458,51.36,14.92
25,mar+del+plata,0,88,-41.411126842101154,62.6,11.41
26,punta+arenas,20,75,-59.437584576909074,42.8,5.82
27,tasiilaq,92,93,71.03614887705973,33.8,9.66
28,sainte-rose,0,88,-20.988771220945537,73.4,1.12
29,port+alfred,76,87,-43.07131033094967,71.83,9.1
30,methoni,40,68,35.39823524091429,66.2,12.75
31,illoqqortoormiut,0,70,78.47876469646718,-5.44,19.95
32,cap+malheureux,40,65,-13.385761963714842,82.4,12.75
33,saldanha,92,82,-38.830597147752314,59.0,9.17
34,cidreira,48,88,-55.98660823659915,65.49,13.91
35,hithadhoo,88,100,-12.10162140250813,79.44,19.39
36,ushuaia,0,70,-76.3314823416934,42.8,3.36
37,san+cristobal,40,83,-3.538445421797306,78.8,4.7
38,calabozo,0,82,7.99840042914532,75.97,10.27
39,maceio,0,88,-14.611993035673848,73.4,6.93
40,bahia+honda,68,75,24.16395864242719,75.97,8.1
41,carnarvon,0,59,-23.8674497775159,83.31,16.82
42,hermanus,64,84,-85.84222880954643,62.34,4.23
43,taolanaro,44,94,-45.26731687637231,45.42,26.49
44,jamestown,90,69,-39.06931891087562,40.41,6.93
45,port+alfred,76,87,-77.36224173262164,71.83,9.1
46,brits,40,77,-25.634363057687864,73.4,3.89
47,carnarvon,0,59,-19.61336143909692,83.31,16.82
48,la+ronge,5,79,57.450163406781826,26.6,6.93
49,busselton,0,92,-49.106126856813695,69.81,4.9
50,caravelas,92,100,-21.75528759888462,75.21,15.3
51,jamestown,90,69,-29.662379062756983,40.41,6.93
52,saint-philippe,0,65,-32.199391967012,81.45,18.34
53,visnes,44,92,58.5598781802706,24.57,3.36
54,santa+rosa,75,62,-38.51368564520426,89.6,8.05
55,estevan,1,55,49.02906404750635,31.68,11.41
56,nouadhibou,0,60,22.580394324179395,69.8,12.75
57,port+alfred,76,87,-65.67548709923528,71.83,9.1
58,qasigiannguit,48,92,68.40533654433978,28.4,2.24
59,bonthe,0,98,1.6284752378016236,75.16,2.73
60,saint-philippe,0,65,-28.79856941575138,81.45,18.34
61,puerto+ayora,32,100,6.0164278181041055,69.22,6.42
62,illoqqortoormiut,24,78,88.79999331828657,-7.42,15.64
63,belushya+guba,44,100,80.83676601518926,4.51,3.56
64,herat,0,30,34.250683331353,44.6,1.12
65,punta+arenas,20,75,-57.39538684959013,42.8,5.82
66,masuguru,92,100,-12.003415807477651,71.47,4.9
67,nanortalik,48,88,58.629494828824505,32.68,12.06
68,sibolga,80,81,2.187283742236886,76.11,5.23
69,bentiu,0,61,9.646184156085766,69.85,6.64
70,ushuaia,0,70,-77.71908619587468,42.8,3.36
71,marsaxlokk,20,93,34.58759957475138,60.8,3.36
72,mar+del+plata,0,88,-47.8582667465814,62.6,11.41
73,hithadhoo,88,100,-8.473218891725992,79.44,19.39
74,mar+del+plata,0,88,-72.82171605621636,62.6,11.41
75,esil,88,79,51.59621053976849,15.76,6.8
76,cape+town,0,77,-61.08811036704063,64.4,9.17
77,ponta+delgada,40,88,28.672053178791657,64.4,23.04
78,shahe,0,23,36.90282669481056,31.11,2.55
79,saint-francois,75,96,17.21620601062436,32.0,5.82
80,ushuaia,0,70,-68.1252222009752,42.8,3.36
81,illoqqortoormiut,24,60,86.23504994125526,-12.59,10.83
82,cape+town,0,77,-62.02726689679962,64.4,9.17
83,bambanglipuro,88,71,-15.756224384304062,84.43,9.6
